name,qid,prom,elev,lat,lon
Semeru,Q270158,3676.0,3676.0,-8.1,112.916666666
Gilbert Peak,Q3105821,3664.0,8184.0,46.4883,-121.407
Ward Mountain,Q7969053,3656.0,10941.0,39.1002,-114.921
Ritacuba Blanco,Q2648857,3645.0,5410.0,6.494166666,-72.2975
Mount Gongga,Q1537157,3642.0,7556.0,29.595833333,101.879166666
Virginia Peak,Q22060860,3642.0,,39.755664,-119.461258
Rainbow Peak,Q7284682,3636.0,9891.0,48.8792,-114.097
Mount Mansfield,Q573840,3633.0,1339.69,44.543611111,-72.814166666
Mount Tipton,Q6924123,3628.0,7153.0,35.538869444,-114.192747222
Mount Ararat,Q72303,3611.0,5137.0,39.701944444,44.298333333
Salinas Peak,Q8524176,3605.0,8967.0,33.298055555,-106.531944444
Diamond Peak,Q18210087,3594.0,10631.0,39.585277777,-115.818611111
Dry Mountain,Q49025953,3594.0,8678.0,36.90882,-117.59785
Kongur Tagh,Q646398,3585.0,7649.0,38.593888888,75.313333333
Trapper Peak,Q7835655,3570.0,10157.0,45.8899,-114.298
Mount Turnbull,Q23657231,3562.0,2527.0,33.07395,-110.26092
Big Baldy Mountain,Q4904991,3557.0,9181.0,46.9685,-110.606
Desatoya Peak,Q5263639,3545.0,9977.0,39.3652,-117.759
Mount Gunnison,Q14684984,3539.0,12725.0,38.8122,-107.382
Wyoming Peak,Q23950320,3538.0,11383.0,42.604377,-110.6243465
Whitewater Baldy,Q7996324,3535.0,10899.0,33.323611111,-108.641111111
Mount Hayes,Q913898,3501.0,4216.0,63.6208,-146.715
San Benito Mountain,Q7413409,3481.0,5267.0,36.3696,-120.645
Buntu Rantemario,Q1568730,3478.0,3478.0,-3.385,120.024166666
Mount Siegel,Q22060830,3477.0,9456.0,38.889564,-119.502187
Mount Seguam,Q901554,3458.0,3458.0,52.315,-172.51
Box Elder Peak,Q49015176,3452.0,,41.635833333,-112.014444444
Mount Saint Elias,Q770496,3448.0,5489.0,60.292222222,-140.931388888
Gearhart Mountain,Q39050234,3430.0,8041.0,42.496,-120.8783
Trask Mountain,Q7835757,3424.0,3426.0,45.371236111,-123.455772222
Notch Peak,Q7062532,3414.0,9658.0,39.143055555,-113.409722222
Wheeler Peak,Q1505965,3409.0,4011.0,36.5569,-105.417
Mount Jackson,Q6921473,3406.0,10052.0,48.6006,-113.722
Ismoil Somoni Peak,Q41413,3402.0,7495.0,38.942732,72.015347
Electric Peak,Q1027558,3389.0,3341.0,45.005277777,-110.8375
Black Peak,Q46619363,3386.0,,60.8530307,-152.4238685
Mount Jefferson,Q6921487,3363.0,10216.0,44.562,-111.505
Dhaulagiri,Q165440,3357.0,8167.0,28.696666666,83.49
Marys Peak,Q6781682,3357.0,4101.0,44.504355555,-123.552455555
Mercedario,Q906336,3356.0,6800.0,-31.978888888,-70.112777777
Belukha Mountain,Q724367,3343.0,4506.0,51.266666666,116.833333333
Mount Thielsen,Q1481220,3342.0,2799.0,43.152837292,-122.066514283
Mount Hillers,Q18156650,3337.0,10741.0,37.8874,-110.697
Mount Lafayette,Q8520336,3320.0,5249.0,44.160705555,-71.644361111
Monte San Lorenzo,Q3089010,3319.0,3706.0,-47.591666666,-72.306666666
Killington Peak,Q4220539,3315.0,,43.604444444,-72.82
Mount Karisimbi,Q737859,3312.0,4507.0,-1.5,29.45
Laramie Peak,Q1805864,3312.0,3132.0,42.267777777,-105.441944444
Jabal an Nabi Shu'ayb,Q1261935,3311.0,3666.0,15.279166666,43.975833333
Funeral Peak,Q49030788,3304.0,,36.10301,-116.62365
Slide Mountain,Q7540328,3300.0,,41.9987,-74.38626
Four Peaks,Q5475419,3297.0,7659.0,33.684036111,-111.325333333
Elk Mountain,Q5364056,3296.0,11162.0,41.6332,-106.526
Mulhacén,Q209528,3290.0,3479.0,37.053333333,-3.311388888
Mount Waddington,Q1737059,3289.0,4019.0,51.373611,-125.263333
Mountain Slamet,Q580131,3284.0,3432.0,-7.239,109.22
Sabalan,Q1364168,3283.0,4811.0,38.266944444,47.836944444
Mount Marcus Baker,Q829432,3269.0,4016.0,61.4378,-147.751
Tanada Peak,Q49081278,3258.0,9358.0,62.3018,-143.505563888
Mount Grafton,Q6920960,3257.0,10997.0,38.692188888,-114.742405555
Smoky Dome,Q7546138,3255.0,10095.0,43.4932,-114.936
Sauyr Zhotasy,Q3950946,3252.0,3840.0,47.049166666,85.566666666
Cerro del Bolsón,Q5065016,3252.0,5552.0,-27.214166666,-66.094166666
Gandhamardhan hills,Q5520650,3250.0,3250.0,20.87388889,82.84277778
Desolation Peak,Q3024539,3249.0,6102.0,48.9112,-121.016
Tomort,Q7820308,3243.0,4886.0,43.073333333,94.346666666
Mount Silverthrone,Q8039585,3240.0,4029.0,63.1158,-150.676
Manzano Peak,Q6753454,3238.0,10098.0,34.590894444,-106.446686111
Newberry Volcano,Q3002222,3214.0,2434.0,43.689195264,-121.25488985
Mount Wilson,Q22058701,3205.0,5446.0,35.99658541,-114.61187301
Mount Brown,Q49052139,3203.0,6958.0,48.873888888,-111.139166666
Jade Dragon Snow Mountain,Q1465660,3202.0,5596.0,27.098333333,100.175
Mount Edgecumbe,Q288383,3201.0,3201.0,57.05,-135.75
Ryan Peak,Q7384412,3194.0,11714.0,43.9024,-114.41
Sugarloaf Mountain,Q3503069,3180.0,4237.0,45.0314,-70.3131
Yamsay Mountain,Q3322190,3176.0,2498.0,42.930597222,-121.360747222
Mount Meru,Q309098,3170.0,4562.13,-3.246780555,36.76025
Shiveluch,Q48877,3168.0,3283.0,56.653633333,161.362966666
Mount Shouplina,Q49054569,3160.0,8531.0,61.34,-146.4889
Naomi Peak,Q6964676,3159.0,9983.0,41.911422222,-111.675341666
Mount Tenabo,Q6924073,3153.0,9157.0,40.162977777,-116.584805555
Freel Peak,Q8526079,3146.0,10886.0,38.8575,-119.9
Roof Butte,Q7366129,3140.0,9787.0,36.461408333,-109.096319444
Nanda Devi,Q213262,3139.0,7816.0,30.373888888,79.970833333
West Blue Mountain,Q7984490,3136.0,10340.0,33.6648,-107.445
Mount Ashland,Q1950357,3132.0,2296.0,42.080555555,-122.717222222
Ladron Peak,Q6469827,3130.0,2807.0,34.4348,-107.0852
Ichinsky,Q1675325,3125.0,3621.0,55.6786,157.718
Batura Sar,Q811064,3118.0,7795.0,36.51,74.5225
Lawu Mountain,Q3219949,3118.0,3265.0,,
Mount Siple,Q678102,3110.0,3110.0,-73.433333333,-126.666666666
Whiteface Mountain,Q3434515,3110.0,4867.0,44.3658,-73.9028
Mount Diablo,Q13359059,3109.0,1160.0,37.881697781,-121.914154997
Mount Siyeh,Q8523839,3106.0,10014.0,48.7292,-113.65
Luna Peak,Q6703581,3105.0,8311.0,48.8306,-121.273
Diamond Peak,Q3026098,3104.0,8748.0,43.5207,-122.15
North Mamm Peak,Q14685036,3103.0,11129.0,39.3889,-107.866
Pico Duarte,Q783742,3101.0,3101.0,19.033055555,-71.005277777
West Elk Peak,Q14685165,3095.0,13042.0,38.7181,-107.199
Manaslu,Q170070,3092.0,8163.0,28.55,84.559722222
Aspen Butte,Q728411,3088.0,2504.0,42.315491666,-122.087566666
Olancha Peak,Q7083082,3083.0,12132.0,36.2653,-118.118
Snowbank Mountain,Q18681606,3080.0,8320.0,44.440277777,-116.126388888
Lituya Mountain,Q6653395,3074.0,11924.0,58.8056,-137.438
Mount Whitney,Q235539,3073.0,4421.0,36.578611111,-118.291944444
Piton des Neiges,Q1545452,3070.0,3070.0,-21.098888888,55.478888888
Gunung Raung,Q2033748,3069.0,3260.0,-8.125,114.041666666
Xuelian Feng,Q8045232,3068.0,6627.0,42.261666666,80.89
Heavens Peak,Q5694932,3067.0,8987.0,48.7089,-113.856
Haleakalā,Q515719,3055.0,3055.0,20.718,-156.25
Mount Lucania,Q1153188,3053.0,5240.0,61.023333333,-140.465555555
Equinox Mountain,Q5384538,3040.0,1163.0,43.1703542,-73.1112166
Buckner Mountain,Q727246,3034.0,9114.0,48.4951,-120.998
Rogers Peak,Q7359326,3034.0,3706.0,45.664555555,-123.548452777
Pueblo Mountain,Q7258454,3032.0,8639.0,42.1,-118.649722222
Mount Agung,Q158470,3031.0,3142.0,-8.341944444,115.507777777
Mount Nesselrode,Q6922392,3031.0,8117.0,58.962222222,-134.313611111
Guadalupe Peak,Q32793,3029.0,2667.0,31.891461111,-104.860711111
Gunung Binaiya,Q863497,3027.0,3027.0,-3.173333333,129.455
Popocatépetl,Q181157,3020.0,5454.0,19.023386,-98.623434
Mount Phillips,Q6922734,3014.0,9494.0,48.4778,-113.525
Potosi Mountain,Q7235114,3012.0,8504.0,35.965555555,-115.501666666
Pico Basilé,Q1518286,3011.0,3011.0,3.583333333,8.766666666
Richland Balsam,Q7330610,3010.0,6410.0,35.367588888,-82.990336111
Mount Scott,Q1507158,3009.0,2722.0,42.923611111,-122.014722222
,Q31445509,3000.0,,,
Koryaksky,Q839630,2999.0,3456.0,53.316666666,158.683333333
Gangkhar Puensum,Q219986,2995.0,7570.0,28.046944444,90.455
Logan Peak,Q6667130,2995.0,9708.0,41.7134,-111.7169
Mount Index,Q6921414,2991.0,5991.0,47.7743124,-121.5803688
Mount Stephenson,Q6923858,2987.0,2987.0,-69.816666666,-69.716666666
Annapurna I,Q16466024,2984.0,8091.0,28.5958,83.82
Talgar peak,Q608494,2982.0,4978.9,43.11833333,77.34083333
North Franklin Mountain,Q7055443,2982.0,7192.0,31.902780555,-106.493330555
Mount Shasta,Q748355,2977.0,4322.0,41.409197222,-122.194888888
Mount Wilhelm,Q277441,2969.0,4509.0,-5.7799986,145.0295844
Tatamailau,Q1539961,2963.0,2963.0,-8.906666666,125.493333333
Doubletop Peak,Q5300165,2960.0,11720.0,43.34855,-110.28685
Mount Apo,Q455963,2954.0,2954.0,6.9875,125.270833333
Jay Peak,Q3163249,2952.0,,44.9242,-72.5256
Spanish Fork Peak,Q49076201,2952.0,,40.088333333,-111.527777777
Gyala Peri,Q1322521,2942.0,7294.0,29.814166666,94.968333333
Gunung Leuser,Q1909348,2941.0,3119.0,3.7975,97.219166666
Mount Union,Q6924259,2939.0,7988.0,34.415,-112.404
Mount Paget,Q1573762,2934.0,2934.0,-54.440833333,-36.555277777
Emi Koussi,Q257441,2934.0,3445.0,19.789444444,18.551111111
Chakragil,Q2947750,2934.0,6760.0,38.865833333,75.108333333
Venado Peak,Q7919536,2934.0,12739.0,36.791694444,-105.493338888
Mount Moosilauke,Q3321961,2932.0,4802.0,44.024511111,-71.830916666
Monarch Mountain,Q3861756,2930.0,3555.0,51.899444444,-125.875833333
King Peak,Q18153994,2928.0,4091.0,40.1568,-124.124
Mount Suckling,Q8525325,2925.0,3676.0,-9.669166666,149.010833333
Mount Pulag,Q948670,2922.0,2922.0,16.583572222,120.883591666
Black Elk Peak,Q1585737,2922.0,2208.0,43.871666666,-103.531666666
Mount Ellsworth,Q49052589,2915.0,,37.746111111,-110.62
Mount Root,Q6923271,2913.0,12887.0,58.985555555,-137.500277777
El Mela,Q5351579,2907.0,4150.0,-28.8675,-67.1275
Snowfield Peak,Q14713898,2907.0,8351.0,48.6353,-121.138
Mount Merritt,Q8525705,2904.0,10009.0,48.8703,-113.786
Jabal Al-Majaz,Q24266868,2902.0,2902.0,18.00638889,43.22277778
Mount Taftan,Q524954,2901.0,3941.0,28.6,61.133333333
Mount Phillips,Q6922736,2901.0,11742.0,36.4766,-105.159
Boulder Mountain,Q895049,2900.0,,38.1589,-111.501
Shishapangma,Q105124,2897.0,8027.0,28.352222222,85.779722222
Mount Huntington,Q6921370,2890.0,12241.0,62.9672,-150.899
Pico da Neblina,Q739484,2886.0,2994.0,0.805494444,-66.005358333
Apache Peak,Q22058621,2886.0,7714.0,31.824642,-110.429614
Mount Saramati,Q8536271,2885.0,3826.0,25.74,95.0375
Spirit Mountain,Q7577896,2879.0,5642.0,35.275,-114.723
Maromokotro,Q1147144,2876.0,2876.0,-14.022777777,48.965833333
Mount Lodge,Q22442469,2871.0,10548.0,59.106666666,-137.542222222
Mount Shishaldin,Q682455,2869.0,2857.0,54.75,-163.966666666
Shingle Peak,Q20858312,2863.0,9827.0,38.508333333,-114.927777777
Mount Wood,Q6924651,2860.0,12660.0,45.2753,-109.813
Moncong Lompobatang,Q6898536,2857.0,2874.0,-5.346679072,119.931666529
Palomar Mountain,Q7128608,2856.0,6142.0,33.363483333,-116.836394444
Cuyamaca Peak,Q5197090,2855.0,1986.0,32.9467,-116.606
Lenin Peak,Q838587,2853.0,7134.0,39.343677,72.877897
Hesperus Mountain,Q5746077,2852.0,13237.0,37.445,-108.089
Buni Zom,Q3695741,2845.0,6542.0,36.154166666,72.3275
Diamond Peak,Q14684442,2845.0,9665.0,40.9503,-108.878
Mount Bigelow,Q6919728,2845.0,4145.0,45.1473,-70.2892
Apple Orchard Mountain,Q4781207,2835.0,4224.0,37.5169,-79.5103
Kuh-e Bandaka,Q6442008,2834.0,6843.0,36.179166666,70.983333333
Dix Mountain,Q5284763,2830.0,4840.0,44.0822,-73.7864
Mount Robson,Q1161258,2829.0,3954.0,53.110555555,-119.156666666
Pico do Fogo,Q499108,2829.0,2829.0,14.949269444,-24.340369444
Laurel Mountain,Q8536937,2829.0,3592.0,44.9235,-123.573
Treasure Mountain,Q7836717,2828.0,13535.0,39.0244,-107.123
Kamet,Q1141272,2825.0,7756.0,30.92,79.593333333
Mount Mather,Q14680156,2823.0,12057.0,63.19472,-150.43556
Mount Gahinga,Q932175,2821.0,3474.0,-1.3873,29.6435
Carter Dome,Q4216195,2821.0,4832.0,44.266944444,-71.178888888
Dorset Mountain,Q5298860,2820.0,3766.0,43.309241666,-73.028161111
Standing Indian Mountain,Q7598497,2819.0,5499.0,35.035555555,-83.538055555
Jebel Shams,Q1261915,2818.0,3018.0,23.2373882,57.2637937
Rakaposhi,Q933778,2818.0,7788.0,36.1425,74.489166666
Arjuno-Welirang,Q665399,2812.0,3339.0,-7.765,112.589722222
Aneto,Q208081,2811.0,3404.0,42.630991666,0.656686111
Mount Fernow,Q3321825,2811.0,9249.0,48.1619,-120.808
Mount Sibbald,Q30506597,2811.0,2811.0,-43.552,170.555
Jiuding Shan,Q6203384,2808.0,4969.0,31.54333333,103.85333333
Mount Pugh,Q8522082,2801.0,7201.0,48.1431,-121.374
Mount Baden-Powell,Q6136577,2799.0,9407.0,34.3584,-117.765
Mount Ruapehu,Q207284,2797.0,2797.0,-39.281666666,175.568611111
American Border Peak,Q3498546,2794.0,7998.0,48.995277777,-121.665277777
Bunker Hill,Q18379373,2793.0,11477.0,39.2529,-117.126
Mount Cereme,Q507179,2792.0,3078.0,-6.891944444,108.4
Mount Ingalls,Q6921417,2792.0,8376.0,39.994,-120.627
Gurla Mandhata,Q1555230,2788.0,7694.0,30.438333333,81.299166666
Mount Prindle,Q6923053,2786.0,5286.0,65.460811111,-146.475638888
Spruce Knob,Q1815535,2781.0,1482.0,38.6999,-79.5328
Mount La Perouse,Q49053342,2778.0,10728.0,58.562927777,-137.082575
The Guardhouse,Q7738427,2777.0,9336.0,48.9158,-114.017
Huascarán,Q200935,2776.0,6768.0,-9.116666666,-77.6
Mount Arfak,Q7160827,2775.0,2955.0,-1.156388888,133.979722222
Mount Redoubt,Q840735,2773.0,3108.0,60.485277777,-152.743055555
Clark Peak,Q5127348,2771.0,3947.0,40.6068,-105.93
Cerro General Belgrano,Q833222,2767.0,6250.0,-29.0146,-67.8264
Granite Peak,Q49032877,2767.0,,40.128055555,-113.271388888
Tupungato Volcano,Q756244,2765.0,6635.0,-33.358555555,-69.770416666
Mount Elbert,Q657225,2765.0,4401.0,39.117777777,-106.445277777
Palmer Archipelago,Q304679,2761.0,,-64.25,-62.833333333
Mount Francais,Q3321837,2760.0,2760.0,-64.633333333,-63.45
Puncak Mandala,Q1512836,2758.0,4760.0,-4.708611111,140.289166666
Mountain Argopuro,Q2860906,2745.0,3088.0,-7.9645,113.5665
Mawson Peak,Q2114101,2745.0,2745.0,-53.104166666,73.516944444
