country,place,pop,year,source
ES,Alicante/Alacant (greater city),503432,2024,eurostat-urb_cpop1
ES,Murcia,471982,2024,eurostat-urb_cpop1
ES,Palma de Mallorca,438234,2024,eurostat-urb_cpop1
ES,Sabadell (greater city),422784,2024,eurostat-urb_cpop1
ES,"Palmas de Gran Canaria, Las",383516,2024,eurostat-urb_cpop1
ES,Santa Cruz de Tenerife (greater city),371341,2024,eurostat-urb_cpop1
ES,Pamplona/Iruña (greater city),343690,2024,eurostat-urb_cpop1
ES,Granada (greater city),333545,2024,eurostat-urb_cpop1
ES,Córdoba,324902,2024,eurostat-urb_cpop1
ES,Valladolid (greater city),322066,2024,eurostat-urb_cpop1
ES,A Coruña (greater city),305086,2024,eurostat-urb_cpop1
ES,Vigo,295523,2024,eurostat-urb_cpop1
ES,Gijón,270219,2024,eurostat-urb_cpop1
ES,Vitoria-Gasteiz,257407,2024,eurostat-urb_cpop1
ES,San Sebastián/Donostia (greater city),250056,2024,eurostat-urb_cpop1
ES,Elche/Elx,242317,2024,eurostat-urb_cpop1
ES,Terrassa,228294,2024,eurostat-urb_cpop1
ES,Almería (greater city),226978,2024,eurostat-urb_cpop1
ES,Oviedo,220027,2024,eurostat-urb_cpop1
ES,Cartagena,219235,2024,eurostat-urb_cpop1
ES,Jerez de la Frontera,214844,2024,eurostat-urb_cpop1
ES,Alcalá de Henares,199804,2024,eurostat-urb_cpop1
ES,Mairena del Aljarafe (greater city),198834,2024,eurostat-urb_cpop1
ES,Fuenlabrada,190496,2024,eurostat-urb_cpop1
ES,Sant Cugat del Vallès (greater city),180172,2024,eurostat-urb_cpop1
ES,Castellón de la Plana/Castelló de la Plana,179861,2024,eurostat-urb_cpop1
ES,Burgos,176551,2024,eurostat-urb_cpop1
ES,Albacete,174073,2024,eurostat-urb_cpop1
ES,Santander,173635,2024,eurostat-urb_cpop1
ES,Las Rozas de Madrid (greater city),172740,2024,eurostat-urb_cpop1
ES,Salamanca (greater city),166803,2024,eurostat-urb_cpop1
ES,León (greater city),152789,2024,eurostat-urb_cpop1
ES,Badajoz,151146,2024,eurostat-urb_cpop1
ES,Logroño,150845,2024,eurostat-urb_cpop1
ES,Girona (greater city),149572,2024,eurostat-urb_cpop1
ES,Torremolinos (greater city),148931,2024,eurostat-urb_cpop1
ES,Tarragona (greater city),146954,2024,eurostat-urb_cpop1
ES,Lleida,144878,2024,eurostat-urb_cpop1
ES,Huelva,143526,2024,eurostat-urb_cpop1
ES,Torrejón de Ardoz,141047,2024,eurostat-urb_cpop1
ES,Dos Hermanas,140463,2024,eurostat-urb_cpop1
ES,Parla,134876,2024,eurostat-urb_cpop1
ES,Mataró,130887,2024,eurostat-urb_cpop1
ES,Algeciras,125047,2024,eurostat-urb_cpop1
ES,Coslada (greater city),119657,2024,eurostat-urb_cpop1
ES,Ourense (greater city),115888,2024,eurostat-urb_cpop1
ES,Viladecans (greater city),115140,2024,eurostat-urb_cpop1
ES,Jaén,111945,2024,eurostat-urb_cpop1
ES,Cádiz,111180,2024,eurostat-urb_cpop1
ES,Reus,109961,2024,eurostat-urb_cpop1
ES,Ferrol (greater city),103678,2024,eurostat-urb_cpop1
ES,Telde,103587,2024,eurostat-urb_cpop1
ES,Granollers (greater city),101828,2024,eurostat-urb_cpop1
ES,Rivas-Vaciamadrid,101637,2024,eurostat-urb_cpop1
FR,Paris (greater city),10353710,2022,eurostat-urb_cpop1
FR,Lyon (greater city),1296104,2022,eurostat-urb_cpop1
FR,Marseille (greater city),976483,2022,eurostat-urb_cpop1
FR,Lille (greater city),966750,2022,eurostat-urb_cpop1
FR,Toulouse (greater city),774656,2022,eurostat-urb_cpop1
FR,Bordeaux (greater city),773626,2022,eurostat-urb_cpop1
FR,Nantes (greater city),501084,2022,eurostat-urb_cpop1
FR,Nice (greater city),476301,2022,eurostat-urb_cpop1
FR,Strasbourg (greater city),436462,2022,eurostat-urb_cpop1
FR,Montpellier (greater city),381724,2022,eurostat-urb_cpop1
FR,Grenoble (greater city),366905,2022,eurostat-urb_cpop1
FR,Rouen (greater city),335389,2022,eurostat-urb_cpop1
FR,Rennes (greater city),279869,2022,eurostat-urb_cpop1
FR,Tours (greater city),246865,2022,eurostat-urb_cpop1
FR,Orléans (greater city),246728,2022,eurostat-urb_cpop1
FR,Toulon (greater city),241392,2022,eurostat-urb_cpop1
FR,Cannes-Antibes (greater city),240630,2022,eurostat-urb_cpop1
FR,Nancy (greater city),224257,2022,eurostat-urb_cpop1
FR,Angers (greater city),210759,2022,eurostat-urb_cpop1
FR,Saint-Étienne (greater city),207427,2022,eurostat-urb_cpop1
FR,Reims (greater city),206170,2022,eurostat-urb_cpop1
FR,Mulhouse (greater city),204066,2022,eurostat-urb_cpop1
FR,Dijon (greater city),202775,2022,eurostat-urb_cpop1
FR,Lens (greater city),201849,2022,eurostat-urb_cpop1
FR,Clermont-Ferrand (greater city),190822,2022,eurostat-urb_cpop1
FR,Le Havre (greater city),190712,2022,eurostat-urb_cpop1
FR,Caen (greater city),183808,2022,eurostat-urb_cpop1
FR,Metz (greater city),170174,2022,eurostat-urb_cpop1
FR,Saint-Denis,156149,2022,eurostat-urb_cpop1
FR,Le Mans (greater city),153231,2022,eurostat-urb_cpop1
FR,Nîmes,150444,2022,eurostat-urb_cpop1
FR,Amiens (greater city),148502,2022,eurostat-urb_cpop1
FR,Aix-en-Provence,147933,2022,eurostat-urb_cpop1
FR,Perpignan (greater city),143083,2022,eurostat-urb_cpop1
FR,Brest,140993,2022,eurostat-urb_cpop1
FR,Limoges (greater city),140961,2022,eurostat-urb_cpop1
FR,Avignon (greater city),140385,2022,eurostat-urb_cpop1
FR,Dunkerque (greater city),140159,2022,eurostat-urb_cpop1
FR,Fort-de-France (greater city),133853,2022,eurostat-urb_cpop1
FR,Annecy (greater city),131272,2022,eurostat-urb_cpop1
FR,Bayonne (greater city),130344,2022,eurostat-urb_cpop1
FR,Valenciennes (greater city),127050,2022,eurostat-urb_cpop1
FR,Besançon,120057,2022,eurostat-urb_cpop1
FR,Chambéry (greater city),118765,2022,eurostat-urb_cpop1
FR,La Seyne-sur-Mer (greater city),117686,2022,eurostat-urb_cpop1
FR,Pau (greater city),113428,2022,eurostat-urb_cpop1
FR,Troyes (greater city),113412,2022,eurostat-urb_cpop1
FR,Melun (greater city),101292,2022,eurostat-urb_cpop1
HU,Budapest (greater city),1686222,2024,eurostat-urb_cpop1
HU,Debrecen,201704,2024,eurostat-urb_cpop1
HU,Szeged,157930,2024,eurostat-urb_cpop1
HU,Miskolc,143502,2024,eurostat-urb_cpop1
HU,Pécs,140330,2024,eurostat-urb_cpop1
HU,Gyõr,130191,2024,eurostat-urb_cpop1
HU,Nyíregyháza,115359,2024,eurostat-urb_cpop1
HU,Kecskemét,109450,2024,eurostat-urb_cpop1
IT,Milano (greater city),3565055,2025,eurostat-urb_cpop1
IT,Napoli (greater city),2977204,2025,eurostat-urb_cpop1
IT,Roma,2747290,2025,eurostat-urb_cpop1
IT,Torino,853196,2025,eurostat-urb_cpop1
IT,Palermo,628693,2025,eurostat-urb_cpop1
IT,Genova,564080,2025,eurostat-urb_cpop1
IT,Catania (greater city),441026,2025,eurostat-urb_cpop1
IT,Bologna,390151,2025,eurostat-urb_cpop1
IT,Firenze,361705,2025,eurostat-urb_cpop1
IT,Bari,315831,2025,eurostat-urb_cpop1
IT,Verona,255039,2025,eurostat-urb_cpop1
IT,Bergamo (greater city),253256,2025,eurostat-urb_cpop1
IT,Venezia,249490,2025,eurostat-urb_cpop1
IT,Messina,217033,2025,eurostat-urb_cpop1
IT,Cagliari (greater city),214929,2025,eurostat-urb_cpop1
IT,Padova,207412,2025,eurostat-urb_cpop1
IT,Brescia,199853,2025,eurostat-urb_cpop1
IT,Parma,198693,2025,eurostat-urb_cpop1
IT,Trieste,198388,2025,eurostat-urb_cpop1
IT,Pescara (greater city),197483,2025,eurostat-urb_cpop1
IT,Prato,197057,2025,eurostat-urb_cpop1
IT,Caserta  (greater city),194394,2025,eurostat-urb_cpop1
IT,Taranto,186011,2025,eurostat-urb_cpop1
IT,Modena,184074,2025,eurostat-urb_cpop1
IT,Reggio nell'Emilia,172284,2025,eurostat-urb_cpop1
IT,Reggio di Calabria,168779,2025,eurostat-urb_cpop1
IT,Perugia,162050,2025,eurostat-urb_cpop1
IT,Ravenna,156340,2025,eurostat-urb_cpop1
IT,Livorno,153154,2025,eurostat-urb_cpop1
IT,Rimini,150333,2025,eurostat-urb_cpop1
IT,Foggia,145198,2025,eurostat-urb_cpop1
IT,Ferrara,129081,2025,eurostat-urb_cpop1
IT,Latina,127796,2025,eurostat-urb_cpop1
IT,Salerno,126000,2025,eurostat-urb_cpop1
IT,Guidonia Montecelio (greater city),121673,2025,eurostat-urb_cpop1
IT,Sassari,120510,2025,eurostat-urb_cpop1
IT,Trento,118640,2025,eurostat-urb_cpop1
IT,Forlì,117535,2025,eurostat-urb_cpop1
IT,Siracusa,115776,2025,eurostat-urb_cpop1
IT,Vicenza,110468,2025,eurostat-urb_cpop1
IT,Anzio (greater city),107934,2025,eurostat-urb_cpop1
IT,Bolzano,106568,2025,eurostat-urb_cpop1
IT,Terni,106310,2025,eurostat-urb_cpop1
IT,Piacenza,103406,2025,eurostat-urb_cpop1
IT,Novara,102231,2025,eurostat-urb_cpop1
IT,Cosenza (greater city),100021,2025,eurostat-urb_cpop1
NL,Rotterdam (greater city),1274944,2024,eurostat-urb_cpop1
NL,Amsterdam (greater city),1073736,2024,eurostat-urb_cpop1
NL,'s-Gravenhage (greater city),813669,2024,eurostat-urb_cpop1
NL,Utrecht (greater city),473630,2024,eurostat-urb_cpop1
NL,Eindhoven (greater city),293244,2024,eurostat-urb_cpop1
NL,Haarlem (greater city),288256,2024,eurostat-urb_cpop1
NL,Leiden (greater city),276383,2024,eurostat-urb_cpop1
NL,Groningen,243768,2024,eurostat-urb_cpop1
NL,Tilburg (greater city),229836,2024,eurostat-urb_cpop1
NL,Alkmaar (greater city),226692,2024,eurostat-urb_cpop1
NL,Almere,226500,2024,eurostat-urb_cpop1
NL,Heerlen (greater city),197654,2024,eurostat-urb_cpop1
NL,Breda,188078,2024,eurostat-urb_cpop1
NL,Nijmegen,187049,2024,eurostat-urb_cpop1
NL,Arnhem,182783,2024,eurostat-urb_cpop1
NL,Apeldoorn,168211,2024,eurostat-urb_cpop1
NL,Ede,166111,2024,eurostat-urb_cpop1
NL,Haarlemmermeer,163128,2024,eurostat-urb_cpop1
NL,Amersfoort,161852,2024,eurostat-urb_cpop1
NL,Enschede,161738,2024,eurostat-urb_cpop1
NL,Zaanstad (greater city),161389,2024,eurostat-urb_cpop1
NL,'s-Hertogenbosch,160757,2024,eurostat-urb_cpop1
NL,Zwolle,133141,2024,eurostat-urb_cpop1
NL,Leeuwarden,128810,2024,eurostat-urb_cpop1
NL,Zoetermeer,128434,2024,eurostat-urb_cpop1
NL,Maastricht,125285,2024,eurostat-urb_cpop1
NL,Sittard-Geleen (greater city),117394,2024,eurostat-urb_cpop1
NL,Alphen aan den Rijn,114966,2024,eurostat-urb_cpop1
NL,Nissewaard (greater city),114067,2024,eurostat-urb_cpop1
NL,Venlo,103789,2024,eurostat-urb_cpop1
NL,Deventer,103405,2024,eurostat-urb_cpop1
UK,London,8866541,2018,eurostat-urb_cpop1
UK,Birmingham,1139249,2018,eurostat-urb_cpop1
UK,Leeds,787020,2018,eurostat-urb_cpop1
UK,Glasgow,623715,2018,eurostat-urb_cpop1
UK,Sheffield,580148,2018,eurostat-urb_cpop1
UK,Manchester,546564,2018,eurostat-urb_cpop1
UK,Bradford,535987,2018,eurostat-urb_cpop1
UK,Edinburgh,515855,2018,eurostat-urb_cpop1
UK,Liverpool,493182,2018,eurostat-urb_cpop1
UK,Bristol,461329,2018,eurostat-urb_cpop1
UK,Kirklees,437936,2018,eurostat-urb_cpop1
UK,Cardiff,363502,2018,eurostat-urb_cpop1
UK,Coventry,363467,2018,eurostat-urb_cpop1
UK,Leicester,354379,2018,eurostat-urb_cpop1
UK,Wakefield,342914,2018,eurostat-urb_cpop1
UK,Belfast,341049,2018,eurostat-urb_cpop1
UK,North Lanarkshire (Airdrie/Bellshill/Coatbridge/Motherwell),340070,2018,eurostat-urb_cpop1
UK,Cheshire West and Chester,339244,2018,eurostat-urb_cpop1
UK,Nottingham,330139,2018,eurostat-urb_cpop1
UK,Sandwell,326419,2018,eurostat-urb_cpop1
UK,Wigan,325369,2018,eurostat-urb_cpop1
UK,Wirral,323016,2018,eurostat-urb_cpop1
UK,Dudley,320023,2018,eurostat-urb_cpop1
UK,Doncaster,309741,2018,eurostat-urb_cpop1
UK,Newcastle upon Tyne,298019,2018,eurostat-urb_cpop1
UK,Stockport,291410,2018,eurostat-urb_cpop1
UK,Brighton and Hove,289275,2018,eurostat-urb_cpop1
UK,Bolton,285093,2018,eurostat-urb_cpop1
UK,Walsall,282336,2018,eurostat-urb_cpop1
UK,Medway,277736,2018,eurostat-urb_cpop1
UK,Sunderland,277333,2018,eurostat-urb_cpop1
UK,Sefton,274993,2018,eurostat-urb_cpop1
UK,Milton Keynes,268064,2018,eurostat-urb_cpop1
UK,Rotherham,264023,2018,eurostat-urb_cpop1
UK,Plymouth,263085,2018,eurostat-urb_cpop1
UK,Wolverhampton,260967,2018,eurostat-urb_cpop1
UK,Kingston-upon-Hull,260659,2018,eurostat-urb_cpop1
UK,Derby,257104,2018,eurostat-urb_cpop1
UK,Stoke-on-Trent,255606,2018,eurostat-urb_cpop1
UK,Salford,252870,2018,eurostat-urb_cpop1
UK,Southampton,252578,2018,eurostat-urb_cpop1
